iter	Passed	Remaining
408	5113	26140
409	5123	26119
410	5136	26108
411	5147	26088
412	5159	26071
413	5170	26053
414	5183	26040
415	5196	26031
416	5209	26021
417	5221	26006
418	5232	25986
419	5243	25967
420	5254	25947
421	5266	25934
422	5278	25916
423	5290	25901
424	5301	25883
425	5312	25862
426	5323	25846
427	5334	25826
428	5345	25803
429	5355	25782
430	5369	25774
431	5380	25756
432	5392	25742
433	5404	25729
434	5416	25712
435	5428	25696
436	5440	25683
437	5452	25667
438	5463	25647
439	5473	25627
440	5486	25613
441	5497	25598
442	5510	25585
443	5522	25571
444	5534	25556
445	5545	25540
446	5556	25519
447	5568	25507
448	5580	25489
449	5591	25471
450	5604	25461
451	5614	25441
452	5626	25426
453	5637	25408
454	5648	25389
455	5660	25374
456	5671	25352
457	5683	25338
458	5696	25328
459	5709	25319
460	5723	25314
461	5739	25318
462	5757	25332
463	5793	25422
464	5815	25449
465	5841	25496
466	5862	25519
467	5883	25547
468	5904	25567
469	5921	25577
470	5937	25575
471	5949	25560
472	5961	25545
473	5973	25534
474	5987	25524
475	6001	25517
476	6014	25507
477	6027	25498
478	6043	25497
479	6056	25486
480	6070	25481
481	6086	25481
482	6098	25468
483	6110	25452
484	6123	25440
485	6135	25426
486	6147	25411
487	6159	25395
488	6172	25384
489	6183	25366
490	6195	25351
491	6207	25333
492	6218	25315
493	6231	25302
494	6242	25285
495	6254	25270
496	6267	25258
497	6279	25245
498	6290	25226
499	6302	25209
500	6314	25193
501	6325	25175
502	6338	25164
503	6350	25148
504	6361	25132
505	6373	25114
506	6385	25100
507	6397	25084
508	6408	25066
509	6419	25048
510	6430	25028
511	6441	25012
512	6453	24996
513	6464	24976
514	6476	24964
515	6487	24945
516	6500	24934
517	6512	24917
518	6525	24905
519	6537	24892
520	6549	24878
521	6561	24861
522	6572	24846
523	6583	24827
524	6597	24819
525	6609	24803
526	6621	24789
527	6633	24774
528	6646	24763
529	6658	24750
530	6670	24735
531	6681	24718
532	6692	24699
533	6704	24683
534	6715	24664
535	6727	24649
536	6739	24635
537	6751	24620
538	6762	24605
539	6774	24589
540	6786	24574
541	6798	24558
542	6810	24546
543	6822	24532
544	6833	24513
545	6845	24496
546	6857	24483
547	6869	24468
548	6880	24451
549	6892	24436
550	6902	24416
551	6913	24397
552	6925	24382
553	6935	24363
554	6947	24348
555	6959	24332
556	6970	24315
557	6981	24297
558	6991	24278
559	7003	24261
560	7016	24249
561	7026	24230
562	7038	24215
563	7049	24197
564	7060	24179
565	7071	24163
566	7082	24146
567	7093	24127
568	7104	24108
569	7115	24092
570	7126	24074
571	7137	24056
572	7147	24037
573	7158	24018
574	7169	24002
575	7181	23987
576	7192	23969
577	7203	23952
578	7213	23933
579	7224	23914
580	7235	23898
581	7246	23880
582	7256	23858
583	7265	23836
584	7276	23818
585	7287	23803
586	7298	23784
587	7310	23769
588	7319	23747
589	7329	23727
590	7339	23707
591	7349	23687
592	7361	23672
593	7371	23652
594	7381	23633
595	7391	23614
596	7401	23591
597	7411	23572
598	7421	23553
599	7432	23535
600	7443	23519
601	7453	23500
602	7463	23479
603	7473	23459
604	7483	23441
605	7494	23423
606	7504	23403
607	7514	23383
608	7524	23364
609	7534	23343
610	7545	23327
611	7556	23311
612	7566	23291
613	7576	23271
614	7586	23253
615	7596	23234
616	7607	23216
617	7617	23197
618	7627	23178
619	7638	23160
620	7648	23142
621	7658	23123
622	7669	23105
623	7678	23084
624	7688	23066
625	7698	23047
626	7710	23033
627	7721	23015
628	7731	22996
629	7740	22976
630	7750	22958
631	7761	22940
632	7774	22929
633	7784	22911
634	7794	22891
635	7803	22871
636	7814	22854
637	7827	22843
638	7858	22887
639	7882	22907
640	7903	22921
641	7923	22932
642	7942	22936
643	7955	22927
644	7969	22919
645	7985	22918
646	7997	22905
647	8007	22887
648	8018	22868
649	8029	22852
650	8041	22838
651	8053	22825
652	8063	22807
653	8073	22789
654	8085	22773
655	8097	22762
656	8107	22743
